Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.403,184.96929,184.96929,4.76837e-07,-0.00048
0.404,184.9693,184.96929,-4.76837e-07,0.00286
0.405,184.96929,184.96929,-4.76837e-07,-0.00381
0.406,184.96929,184.96929,3.33786e-06,-0.00191
0.407,184.96929,184.96929,4.76837e-06,0.00048
0.408,184.96929,184.96929,-1.43051e-06,0.00238
0.409,184.96929,184.96929,4.76837e-07,-0.00095
0.41,184.96929,184.96929,-2.38419e-06,0.00095
0.411,184.9693,184.96929,-9.53674e-07,0.00381
0.412,184.96929,184.96929,-9.53674e-07,-0.00238
0.413,184.9693,184.96929,-2.38419e-06,0.00048
0.414,184.96928,184.96929,8.10623e-06,-0.01049
0.415,184.96929,184.96929,2.86102e-06,0.0062
0.416,184.96929,184.96929,5.24521e-06,-0.00095
0.417,184.96929,184.96929,-2.38419e-06,0.00429
0.418,184.9693,184.96929,-4.76837e-07,0.00238
0.419,184.96929,184.96929,1.43051e-06,-0.00811
0.42,184.96928,184.96929,1.14441e-05,-0.00381
0.421,184.96929,184.96929,0.0,0.00858
0.422,184.9693,184.96929,-6.19888e-06,0.00858
0.423,184.96928,184.96929,9.53674e-06,-0.0205
0.424,184.9693,184.96929,-2.86102e-06,0.01717
0.425,184.9693,184.96929,-5.72205e-06,-0.00048
0.426,184.9693,184.96929,-3.33786e-06,-0.00095
0.427,184.9693,184.96929,-9.53674e-07,-0.00143
0.428,184.96929,184.96929,4.29153e-06,-0.0062
0.429,184.96929,184.96929,9.53674e-07,0.00334
0.43,184.96929,184.96929,3.33786e-06,-0.00381
0.431,184.9693,184.96929,-5.24521e-06,0.01049
0.432,184.96929,184.96929,6.19888e-06,-0.01144
0.433,184.96929,184.96929,-2.38419e-06,0.00668
0.434,184.96929,184.96929,7.15256e-06,-0.00668
0.435,184.96929,184.96929,2.38419e-06,0.00429
0.436,184.96929,184.96929,-4.76837e-07,0.00191
0.437,184.96929,184.96929,1.43051e-06,-0.00238
0.438,184.9693,184.96929,-5.24521e-06,0.0062
0.439,184.96929,184.96929,3.8147e-06,-0.00811
0.44,184.96929,184.96929,5.72205e-06,-0.00286
0.441,184.96928,184.96929,1.33514e-05,-0.00525
0.442,184.96929,184.96929,5.72205e-06,0.00572
0.443,184.96929,184.96929,-4.29153e-06,0.00715
0.444,184.96929,184.96929,3.8147e-06,-0.00143
0.445,184.9693,184.96929,-6.19888e-06,0.00572
0.446,184.9693,184.96929,-2.86102e-06,-0.00191
0.447,184.96929,184.96929,4.29153e-06,-0.01001
0.448,184.96929,184.96929,3.33786e-06,0.00334
0.449,184.96929,184.96929,9.53674e-06,-0.00334
0.45,184.96929,184.96929,4.29153e-06,0.00191
0.451,184.96929,184.96929,3.8147e-06,0.00191
0.452,184.96929,184.96929,6.19888e-06,-0.00286
0.453,184.9693,184.96929,4.76837e-07,0.00715
0.454,184.96929,184.96929,4.76837e-07,-0.00048
0.455,184.96929,184.96929,7.15256e-06,-0.00811
0.456,184.96929,184.96929,6.19888e-06,0.00238
0.457,184.96929,184.96929,-1.43051e-06,0.00572
0.458,184.9693,184.96929,-3.8147e-06,0.00191
0.459,184.96929,184.96929,8.10623e-06,-0.00858
0.46,184.96929,184.96929,-4.76837e-07,0.0062
0.461,184.96929,184.96929,2.86102e-06,-0.00334
